TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,IS_NULLABLE
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,AttributeSourceType,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,GoTicketsVenueId,4,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,IsMarketingDefined,5,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,SourceChangedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,CreatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,UpdatedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImage,MarketingImageId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImage,Name,2,varchar,500,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MarketingImage,HeightPixels,3,int,NULL,10,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImage,WidthPixels,4,int,NULL,10,0,NULL,NO
